,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
180,2022-07-07 17:00:00,2218.0,994.5,11.684999,1168.0,6.83,4.0
190,2022-07-07 18:00:00,2218.0,684.0,13.19,857.0,9.19,4.0
208,2022-07-07 18:00:00,2218.0,620.5,13.64,793.5,10.05,3.0
210,2022-07-07 19:00:00,5091.0,1144.0,17.26,1612.0,11.36,3.0
211,2022-07-07 19:00:00,2070.0,1050.5,12.88,1212.5,6.34,4.0
230,2022-07-07 20:00:00,1836.5,528.5,12.8,669.5,9.87,3.0
231,2022-07-07 20:00:00,1685.0,588.0,11.98,721.0,8.59,4.0
244,2022-07-07 21:00:00,1685.0,390.0,18.78,537.0,11.65,3.0
248,2022-07-07 21:00:00,1639.0,635.5,15.48,768.0,8.075001,4.0
249,2022-07-07 22:00:00,1171.0,257.5,22.265,375.5,12.88,3.0
250,2022-07-07 22:00:00,1144.0,348.0,21.34,445.0,8.83,4.0
361,2022-07-08 20:00:00,2218.0,959.0,10.72,1118.0,6.96,4.0
385,2022-07-08 21:00:00,4452.0,1081.0,16.27,1494.0,10.72,3.0
386,2022-07-08 21:00:00,1937.0,858.0,12.5,1006.0,6.88,4.0
397,2022-07-08 22:00:00,1489.0,385.0,22.47,501.0,10.36,3.0
398,2022-07-08 22:00:00,1710.5,724.0,15.379999,857.5,7.685,4.0
402,2022-07-08 23:00:00,1110.0,361.0,22.54,451.0,8.62,4.0
403,2022-07-08 23:00:00,1655.0,237.0,31.95,406.0,16.27,3.0
857,2022-07-15 17:00:00,790.0,669.0,8.98,744.0,3.82,4.0
887,2022-07-15 18:00:00,796.0,591.0,10.985,684.0,5.075,4.0
936,2022-07-15 20:00:00,2061.0,986.0,11.26,1158.0,6.4449997,4.0
963,2022-07-15 21:00:00,3689.0,906.0,14.55,1247.0,10.64,3.0
964,2022-07-15 21:00:00,2061.0,1025.0,12.12,1193.0,6.44,4.0
972,2022-07-15 22:00:00,3117.0,524.5,23.59,815.0,13.44,3.0
973,2022-07-15 22:00:00,1937.0,883.0,14.57,1036.0,7.64,4.0
987,2022-07-15 23:00:00,1144.0,172.0,25.08,263.0,13.37,3.0
988,2022-07-15 23:00:00,1335.0,450.5,21.345001,555.5,8.65,4.0
1009,2022-07-16 11:00:00,1574.0,717.0,24.03,847.0,6.68,4.0
1033,2022-07-16 12:00:00,1574.0,454.0,24.67,582.0,10.08,3.0
1034,2022-07-16 12:00:00,1574.0,632.0,23.17,762.0,7.425,4.0
1099,2022-07-16 13:00:00,2819.0,731.0,21.64,972.0,10.205,3.0
1100,2022-07-16 13:00:00,1174.0,713.0,9.58,851.0,6.97,4.0
1138,2022-07-16 14:00:00,1574.0,469.0,21.89,599.0,12.22,3.0
1139,2022-07-16 14:00:00,1574.0,621.5,19.215,751.5,7.865,4.0
1188,2022-07-16 15:00:00,1574.0,462.0,23.1,592.0,9.83,3.0
1189,2022-07-16 15:00:00,2218.0,974.0,9.17,1147.0,6.9300003,4.0
1239,2022-07-16 16:00:00,2218.0,1174.5,9.44,1347.0,5.92,4.0
1288,2022-07-16 17:00:00,2218.0,1017.0,9.25,1189.0,6.71,4.0
1322,2022-07-16 18:00:00,2218.0,1312.0,8.695,1484.0,5.38,4.0
1371,2022-07-16 20:00:00,1593.0,777.0,11.16,917.0,6.53,4.0
1386,2022-07-16 21:00:00,1628.0,712.0,12.38,832.0,6.85,4.0
1397,2022-07-16 22:00:00,1335.0,341.0,19.5,446.0,10.77,3.0
1401,2022-07-16 22:00:00,1335.0,776.0,14.55,881.0,6.82,4.0
1405,2022-07-16 22:00:00,1880.0,178.0,28.86,306.5,20.7,2.0
1488,2022-07-17 14:00:00,2061.0,863.0,13.19,1020.0,7.26,4.0
1532,2022-07-17 15:00:00,2061.0,810.5,13.755,953.5,6.62,4.0
1559,2022-07-17 16:00:00,1685.0,476.0,12.22,604.5,10.455,3.0
1560,2022-07-17 16:00:00,1685.0,724.5,12.255,851.5,7.38,4.0
1568,2022-07-17 17:00:00,1937.0,743.0,11.82,877.0,7.6,4.0
1581,2022-07-17 17:00:00,3062.0,713.5,13.9,1004.5,10.95,3.0
1614,2022-07-17 18:00:00,1685.0,760.0,11.48,889.0,6.815,4.0
2424,2022-07-23 16:00:00,2811.0,1240.0,10.355,1495.5,6.745,4.0
2429,2022-07-23 17:00:00,2218.0,1300.0,8.79,1477.0,5.41,4.0
2441,2022-07-23 18:00:00,2218.0,1099.0,8.57,1268.0,6.23,4.0
2443,2022-07-23 18:00:00,3846.0,926.0,11.64,1286.5,10.73,3.0
3031,2022-07-28 22:00:00,1561.0,1626.0,49.16,1729.0,3.245,4.0
3032,2022-07-28 23:00:00,1561.0,1619.0,49.18,1722.0,3.25,4.0
3245,2022-07-29 22:00:00,3221.0,856.0,13.8,1166.0,9.94,3.0
3246,2022-07-29 22:00:00,1685.0,673.0,13.5,829.0,7.62,4.0
3257,2022-07-29 23:00:00,982.0,235.0,26.53,321.0,11.85,3.0
3259,2022-07-29 23:00:00,1489.0,532.5,20.625,657.0,9.059999,4.0
3289,2022-07-30 12:00:00,2218.0,1046.0,12.86,1222.0,6.525,4.0
3300,2022-07-30 13:00:00,2218.0,987.0,12.23,1163.0,6.86,4.0
3319,2022-07-30 15:00:00,2218.0,938.0,8.92,1114.0,7.08,4.0
3322,2022-07-30 16:00:00,2061.0,830.5,8.855,991.5,7.6,4.0
3345,2022-07-30 20:00:00,4067.0,347.0,33.09,659.0,22.19,2.0
3350,2022-07-30 20:00:00,3680.0,473.0,32.89,765.0,17.97,3.0
3351,2022-07-30 20:00:00,1880.0,1098.0,12.27,1234.0,5.385,4.0
3360,2022-07-30 21:00:00,3909.0,243.0,33.66,533.5,26.029999,2.0
3361,2022-07-30 21:00:00,2218.0,741.0,13.335,917.0,8.014999,4.0
3883,2022-08-04 17:00:00,2260.0,615.0,33.49,779.0,10.44,3.0
3897,2022-08-04 18:00:00,3495.0,523.0,32.93,577.0,21.8,2.0
3898,2022-08-04 18:00:00,2260.0,625.0,33.49,788.0,10.44,3.0
3921,2022-08-04 20:00:00,1942.0,793.0,16.485,934.0,7.32,4.0
3926,2022-08-04 21:00:00,1593.0,250.0,20.46,376.0,14.825,3.0
3927,2022-08-04 21:00:00,1937.0,691.0,17.9,845.0,7.84,4.0
4051,2022-08-05 21:00:00,3846.0,865.0,13.41,1230.0,11.25,3.0
4052,2022-08-05 21:00:00,2061.0,1044.0,10.12,1208.0,5.99,4.0
4055,2022-08-05 22:00:00,1535.5,421.0,18.14,545.5,10.1,3.0
4056,2022-08-05 22:00:00,2026.0,1002.5,13.2,1187.5,6.59,4.0
4058,2022-08-05 23:00:00,1542.0,322.5,22.33,480.0,11.190001,3.0
4059,2022-08-05 23:00:00,1144.0,409.5,16.595,505.5,8.76,4.0
4062,2022-08-06 04:00:00,2480.5,463.0,48.02,658.0,13.575001,3.0
4081,2022-08-06 11:00:00,1159.0,746.5,8.665,851.0,4.9049997,4.0
4096,2022-08-06 12:00:00,1174.0,300.0,23.665,384.0,10.66,3.0
4097,2022-08-06 12:00:00,1569.0,884.0,22.635,1033.5,5.7,4.0
4109,2022-08-06 13:00:00,1127.0,599.5,7.91,701.0,5.52,4.0
4124,2022-08-06 14:00:00,1159.0,620.5,8.945,730.5,5.93,4.0
4146,2022-08-06 15:00:00,2218.0,1012.0,9.06,1192.0,6.69,4.0
4168,2022-08-06 16:00:00,2218.0,891.0,9.45,1066.0,7.29,4.0
4193,2022-08-06 17:00:00,2086.0,1184.0,8.27,1347.0,5.57,4.0
4223,2022-08-06 18:00:00,2218.0,861.0,8.44,1040.0,7.67,4.0
4305,2022-08-07 15:00:00,1937.0,843.0,13.27,997.0,7.0,4.0
4313,2022-08-07 16:00:00,1937.0,518.5,13.275,672.5,10.120001,3.0
4316,2022-08-07 16:00:00,1937.0,800.5,13.764999,960.0,7.67,4.0
4327,2022-08-07 18:00:00,1574.0,570.0,23.31,713.0,8.17,4.0
4332,2022-08-07 18:00:00,3691.0,355.0,28.39,632.0,21.0,2.0
4333,2022-08-07 18:00:00,2967.0,489.0,25.38,790.0,13.13,3.0
4345,2022-08-07 19:00:00,1574.0,395.0,24.23,526.0,12.01,3.0
4728,2022-08-10 18:00:00,2058.0,611.0,24.16,793.0,9.33,3.0
4729,2022-08-10 18:00:00,1322.0,819.0,24.42,920.5,4.85,4.0
4759,2022-08-10 19:00:00,1322.0,368.5,24.23,495.0,11.245,3.0
4760,2022-08-10 19:00:00,1322.0,678.0,24.38,788.0,6.0,4.0
4794,2022-08-10 20:00:00,826.0,207.0,25.05,276.0,10.74,3.0
4795,2022-08-10 20:00:00,1165.0,620.0,26.52,720.0,5.58,4.0
4800,2022-08-10 21:00:00,826.0,163.0,26.18,233.0,12.76,3.0
4802,2022-08-10 21:00:00,826.0,113.0,26.21,182.0,16.28,2.0
4803,2022-08-10 21:00:00,506.0,194.0,23.43,238.0,7.62,4.0
5174,2022-08-13 15:00:00,2218.0,1020.0,8.18,1199.0,6.65,4.0
5241,2022-08-13 21:00:00,1777.0,531.0,31.87,668.0,9.56,3.0
5242,2022-08-13 21:00:00,555.0,482.0,29.93,524.0,3.93,4.0
5254,2022-08-13 22:00:00,2299.0,283.5,36.47,453.5,18.1,3.0
5255,2022-08-13 22:00:00,2982.0,295.0,37.53,511.0,20.97,2.0
5447,2022-08-15 17:00:00,2189.5,800.0,13.0,969.0,8.085,4.0
5468,2022-08-15 18:00:00,1548.5,386.5,13.99,508.0,11.24,3.0
5469,2022-08-15 18:00:00,1929.0,616.0,13.68,764.0,8.8,4.0
5595,2022-08-16 16:00:00,2218.0,504.0,15.37,683.0,11.67,3.0
5596,2022-08-16 16:00:00,1348.0,1077.0,13.74,1174.0,3.97,4.0
5623,2022-08-16 17:00:00,1294.0,153.0,25.1,261.0,17.83,2.0
5624,2022-08-16 17:00:00,2939.0,763.0,16.25,1027.0,10.96,3.0
5625,2022-08-16 17:00:00,1283.0,1113.0,14.41,1266.5,4.515,4.0
5659,2022-08-16 18:00:00,1291.0,1863.0,21.74,2045.0,3.08,4.0
5712,2022-08-16 19:00:00,1348.0,2993.0,20.08,3111.0,2.7,4.0
5754,2022-08-16 20:00:00,1557.0,318.0,27.7,479.0,11.26,3.0
5755,2022-08-16 20:00:00,2218.0,2027.0,21.69,2189.0,3.62,4.0
5797,2022-08-16 21:00:00,665.0,88.0,32.73,143.0,16.66,2.0
5798,2022-08-16 21:00:00,1574.0,384.0,30.11,516.0,10.79,3.0
5799,2022-08-16 21:00:00,2218.0,895.0,27.12,1074.0,7.16,4.0
5824,2022-08-16 22:00:00,1593.0,255.0,35.75,409.0,12.46,3.0
5825,2022-08-16 22:00:00,1937.0,711.0,32.72,859.0,7.84,4.0
5837,2022-08-16 23:00:00,815.0,139.0,25.335,261.5,12.405,3.0
5940,2022-08-18 17:00:00,2218.0,623.0,14.75,802.0,9.95,3.0
5941,2022-08-18 17:00:00,2218.0,774.0,14.58,953.0,8.9,4.0
5948,2022-08-18 18:00:00,2218.0,553.0,16.09,732.0,10.64,3.0
5949,2022-08-18 18:00:00,2189.5,670.0,15.41,841.0,9.045,4.0
6117,2022-08-21 14:00:00,971.0,758.0,10.18,898.0,4.48,4.0
6118,2022-08-21 14:00:00,971.0,304.0,11.22,391.0,8.93,3.0
6119,2022-08-21 15:00:00,1043.5,325.0,11.425,419.0,8.955,3.0
6240,2022-08-22 19:00:00,826.0,278.0,25.43,345.0,9.25,3.0
6241,2022-08-22 19:00:00,872.5,482.5,24.98,559.5,6.565,4.0
6592,2022-08-26 17:00:00,1116.0,687.5,12.78,788.0,5.0950003,4.0
6620,2022-08-26 18:00:00,1159.0,344.0,18.83,449.0,9.28,3.0
6621,2022-08-26 18:00:00,1116.0,595.0,14.09,695.0,6.81,4.0
6763,2022-08-27 15:00:00,2061.0,1021.0,8.6,1187.5,6.24,4.0
6791,2022-08-27 16:00:00,2218.0,909.0,8.29,1090.0,7.24,4.0
6808,2022-08-27 17:00:00,2218.0,948.0,7.76,1130.0,7.06,4.0
6825,2022-08-27 18:00:00,2218.0,938.5,9.82,1120.0,7.125,4.0
6833,2022-08-27 19:00:00,2218.0,939.0,10.0,1120.0,7.19,4.0
6890,2022-08-28 14:00:00,3565.0,889.0,15.12,1232.0,10.41,3.0
6891,2022-08-28 14:00:00,1557.0,652.0,10.94,803.0,7.7,4.0
6902,2022-08-28 15:00:00,1736.0,648.0,10.305,789.0,7.985,4.0
6917,2022-08-28 16:00:00,2218.0,794.5,13.255,976.0,7.87,4.0
6937,2022-08-28 17:00:00,2218.0,983.0,12.17,1164.0,6.85,4.0
6948,2022-08-28 18:00:00,2218.0,604.0,17.95,785.0,10.16,3.0
6949,2022-08-28 18:00:00,2218.0,686.5,14.950001,868.0,8.775,4.0
6960,2022-08-28 19:00:00,2218.0,699.0,16.25,855.0,8.91,4.0
7074,2022-08-29 17:00:00,2218.0,1053.0,13.44,1227.0,6.635,4.0
7087,2022-08-29 18:00:00,1937.0,552.0,16.23,708.0,10.0,3.0
7088,2022-08-29 18:00:00,2218.0,838.0,15.66,1020.0,7.71,4.0
7103,2022-08-29 19:00:00,1937.0,680.5,18.494999,836.5,7.9799995,4.0
7114,2022-08-29 20:00:00,1489.0,339.5,18.24,468.0,11.405,3.0
7115,2022-08-29 20:00:00,1489.0,496.0,18.56,607.0,8.34,4.0
7118,2022-08-29 21:00:00,1489.0,281.0,22.37,403.0,13.66,3.0
7205,2022-08-30 17:00:00,2218.0,917.0,12.89,1098.5,7.26,4.0
7213,2022-08-30 18:00:00,2086.0,904.0,14.31,1067.5,7.05,4.0
7224,2022-08-30 19:00:00,2218.0,1042.5,13.875,1207.5,6.3,4.0
7235,2022-08-30 20:00:00,1867.0,525.5,19.325,671.5,10.09,3.0
7236,2022-08-30 20:00:00,1933.0,754.0,18.485,891.5,7.8450003,4.0
7240,2022-08-30 21:00:00,1218.0,335.0,28.970001,434.5,10.27,3.0
7241,2022-08-30 21:00:00,1541.0,524.0,26.26,642.5,8.184999,4.0
7244,2022-08-30 22:00:00,873.0,261.0,28.77,337.0,10.46,3.0
7330,2022-08-31 17:00:00,1986.0,1252.5,12.335,1404.5,5.0550003,4.0
7340,2022-08-31 18:00:00,2218.0,889.0,15.08,1081.0,7.45,4.0
7355,2022-08-31 19:00:00,2218.0,847.0,14.5,1028.0,7.925,4.0
7373,2022-08-31 20:00:00,1937.0,449.0,18.32,605.0,10.95,3.0
7374,2022-08-31 20:00:00,2218.0,766.0,17.52,945.0,8.355,4.0
7380,2022-08-31 21:00:00,1685.0,453.0,22.18,582.0,10.44,3.0
7383,2022-08-31 21:00:00,1489.0,527.0,21.84,666.0,7.93,4.0
7389,2022-08-31 22:00:00,1218.0,326.0,39.26,418.0,10.46,3.0
7390,2022-08-31 22:00:00,1103.0,654.0,33.235,747.0,6.015,4.0
7460,2022-09-01 17:00:00,2086.0,834.0,13.05,1017.0,7.63,4.0
7483,2022-09-01 18:00:00,2218.0,529.5,14.245,723.0,10.715,3.0
7484,2022-09-01 18:00:00,1593.0,547.5,12.19,677.0,8.54,4.0
7600,2022-09-02 16:00:00,2152.0,599.0,18.46,773.0,9.91,3.0
7601,2022-09-02 16:00:00,2086.0,664.0,15.9,837.0,8.59,4.0
7635,2022-09-02 17:00:00,2218.0,912.5,10.459999,1093.5,7.29,4.0
7681,2022-09-02 18:00:00,2218.0,1015.0,9.63,1196.5,6.54,4.0
7712,2022-09-02 19:00:00,2218.0,1110.0,9.72,1290.0,6.085,4.0
7751,2022-09-02 20:00:00,2218.0,798.0,9.68,979.0,8.145,4.0
7859,2022-09-03 12:00:00,2218.0,619.0,12.85,801.0,9.96,3.0
7860,2022-09-03 12:00:00,2218.0,693.0,12.53,874.5,9.12,4.0
7901,2022-09-03 13:00:00,2810.0,609.0,19.57,875.0,11.83,3.0
7902,2022-09-03 13:00:00,2218.0,1018.0,10.66,1185.0,6.75,4.0
7936,2022-09-03 14:00:00,2810.0,473.0,18.55,686.0,14.53,3.0
7937,2022-09-03 14:00:00,2218.0,1117.0,9.38,1299.0,6.14,4.0
7990,2022-09-03 15:00:00,3469.0,471.0,20.66,737.0,16.3,3.0
7991,2022-09-03 15:00:00,2218.0,1138.0,8.76,1319.0,6.04,4.0
8024,2022-09-03 16:00:00,2218.0,980.0,8.68,1161.0,6.87,4.0
8059,2022-09-03 17:00:00,2218.0,1069.0,8.005,1251.0,6.38,4.0
8079,2022-09-03 18:00:00,2218.0,1123.5,9.25,1304.5,6.1899996,4.0
8111,2022-09-03 19:00:00,2218.0,1108.5,9.41,1290.0,6.18,4.0
